"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393854748.60335","1353631284.9162","1260335195.53073","1275418994.41341","1450279329.60894","1597765363.12849","1596648044.69274","1730167597.76536","1858659217.87709","1593854748.60335","1459217877.09497","1729050279.32961","1653631284.9162","2067039106.14525","2144692737.43017","2146368715.0838","2114525139.6648","2241340782.1229","","","",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8187952996.90344","6736804052.06298","8725781181.80022","9676099739.56623","13749769575.3243","24225663183.7639","33245105956.2189","44319695565.281","64168383679.8013","41310593206.4512","51572818660.8665","67822745138.1171","71632934595.8855","69376269461.8533","65126113465.185","34572954933.6294","28440561886.9778","35420915616.9387","41388899132.5883","36020868041.6791","",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069933.049631","319090900.273501","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407481.032684","302465325.386337","371812526.256257","230306748.466258","291948928.287907","540977552.49819","700086106.327426","836718641.236252","910731607.953518","1169853125.64427","1596260273.14538","1853023371.31259","2242664372.48862","3016115601.49025","3259292016.41107","3040048179.5277","3337088824.25553","3769453237.89494","3565049240.09236","3694416159.10786","3732053469.8521","3104896170.82018","3437122661.4576","4110293870.69689","4785182221.9259","4821430666.52656","",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163372147929.814","186085783016.366","213386799718.724","219975443097.601","171770953459.012","206601547096.945","290224141454.024","267893816830.2","278709444296.835","348273945270.19","463461938870.344","626255019186.272","765035512564.895","892168261880.016","1192287540640.32","837342747349.065","1040863559881.9","1364330069318.63","1543161753297.02","1527895751002.42","1451292529352.81","1068307981152.86","982340627654.256","1125081734176.18","1318919927659.46","1273419126714.2","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","401366643975.494","361252552756.978","360626276378.489","384043567052.417","392863172226.004","389372362151.123","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","1147183934.48134","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.60299","4999999950.3057","4508960596.86682","3895791554.56352","5445263189.7662","7663966255.62989","9515669466.75192","6003000151.64854","10376666928.8033","9054444307.18032","8747619117.06127","12029545360.5898","10007559520.4417","14643450361.4013","14561091033.0362","15095901877.6499","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97810932629.3764","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842486095.8653","72860588696.6328","75676150102.3873","77684320032.9072","",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.429774","842829165.092108","506749951.25833","567247790.509983","517226119.394369","351337813.033468","371135631.409224","332378715.799676","359865213.08226","383089748.692254","423629629.686612","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338475057.949","1413899467.45556","1674567081.12247","1663675191.04852","1268730216.88583","1828759529.03772","2284326829.81437","2926876972.55105","3153323143.543","3315721203.94365","3137020909.22235","3558717362.88217","4405338828.34724","4907543853.58308","5631686117.72708","",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","482000000","457000000","426000000","427000000","427000000","362000000","438000000","","",
